channel,column,offset,width,encoding,delta_view,affine_scale,affine_offset,responsive_threshold,frame_len
x,hmd_x,38,2,int16_le,False,-2.7216423742526637e-06,0.00393033018173475,10853.707595060265,152
y,hmd_y,42,2,int16_le,False,1.8458698841565709e-07,0.0002880082314529446,10356.479634438758,152
z,hmd_z,46,2,int16_le,False,-6.359483335178743e-07,0.00047725849784909874,10999.856222437114,152
i,hmd_qx,51,4,uint32_le,False,9.807745646244323e-13,-0.002104204790546583,11760.131778970263,152
k,hmd_qz,58,4,int32_le,True,-3.738554419750761e-11,-0.0002335845154658599,11101.350783159798,152
left_x,left_x,62,2,uint16_le,False,3.2706158932866854e-07,-0.010529968898768624,10532.124878878945,152
left_y,left_y,66,2,uint16_le,False,3.595609096234193e-06,-0.11545014343247914,10946.678115977564,152
left_z,left_z,72,2,int16_le,True,-5.678085864548946e-08,-0.00015182890003088268,11545.687836716528,152
left_j,left_qy,75,2,uint16_be,False,-5.747354222808371e-07,0.018766920209644867,10930.307827046383,152
left_k,left_qz,78,2,int16_le,False,7.81118573213578e-07,0.00018928114860941706,10397.083109321204,152
left_w,left_qw,82,2,int16_le,False,5.14481229545327e-07,-0.00011942650335406984,10462.322376561508,152
right_x,right_x,86,2,uint16_le,False,1.4448880841984129e-07,-0.004599039220478442,10532.646659580982,152
right_y,right_y,90,2,int16_be,False,2.8746227952461607e-06,-0.0012236832296698061,11104.550624246622,152
right_z,right_z,95,2,int16_be,False,1.3796796595335627e-06,-0.0005464825586886409,11957.277241990138,152
right_j,right_qy,98,2,int16_be,False,1.344006737663727e-06,0.00040942151365092484,10978.2593569599,152
right_k,right_qz,103,4,int32_be,False,-1.5623196711866262e-11,-0.0003047124998231237,10537.43864630452,152
right_w,right_qw,106,2,uint16_le,False,1.2363591601452244e-06,-0.03957943963463108,10760.443970786055,152
j,hmd_qy,54,2,int16_le,False,3.051850947599719e-05,0.0,manual_offset_54,152
