replay_id,occurrence,start_ts,end_ts,duration_sec
16_fix,1,1765932954.9535,1765932964.894934,9.941433906555176
16_x,1,1765932966.023736,1765932975.969096,9.945359945297241
16_x,2,1765932977.093445,1765932987.037402,9.943956851959229
16_x,3,1765932988.15765,1765932998.100832,9.943181991577148
16_y,1,1765932999.227955,1765933009.172578,9.944622993469238
16_y,2,1765933010.29717,1765933020.237448,9.940278053283691
16_y,3,1765933021.361009,1765933031.30385,9.942841053009033
16_z,1,1765933032.43394,1765933042.377031,9.94309115409851
16_z,2,1765933043.503049,1765933053.446716,9.94366717338562
16_z,3,1765933054.571878,1765933064.51538,9.943501949310303
16_i,1,1765933065.645895,1765933075.592787,9.946892023086548
16_i,2,1765933076.714792,1765933086.659558,9.9447660446167
16_i,3,1765933087.784457,1765933097.728964,9.944507122039795
16_j,1,1765933098.855846,1765933108.798469,9.942623138427734
16_j,2,1765933109.924727,1765933119.869173,9.944446086883545
16_j,3,1765933120.994904,1765933130.940111,9.945206880569458
16_k,1,1765933132.070514,1765933142.010298,9.939784049987793
16_k,2,1765933143.131789,1765933153.078258,9.946469068527222
16_k,3,1765933154.204904,1765933164.142864,9.937959909439087
16_w,1,1765933165.272693,1765933175.217615,9.944921970367432
16_w,2,1765933176.343375,1765933186.288446,9.94507098197937
16_w,3,1765933187.409368,1765933197.354901,9.945533037185669
16_left_x,1,1765933198.482028,1765933208.428018,9.945990085601807
16_left_x,2,1765933209.549589,1765933219.493017,9.943428039550781
16_left_x,3,1765933220.616899,1765933230.561311,9.944411993026733
16_left_y,1,1765933231.692323,1765933241.636111,9.943788051605225
16_left_y,2,1765933242.759113,1765933252.703426,9.944312810897827
16_left_y,3,1765933253.82802,1765933263.774401,9.946380853652954
16_left_z,1,1765933264.911543,1765933274.854383,9.942840099334717
16_left_z,2,1765933275.986973,1765933285.929465,9.942492008209229
16_left_z,3,1765933287.057016,1765933297.001084,9.944068193435669
16_left_i,1,1765933298.131667,1765933308.07341,9.94174313545227
16_left_i,2,1765933309.202147,1765933319.146394,9.944247007369995
16_left_i,3,1765933320.277013,1765933330.222638,9.945624828338623
16_left_j,1,1765933331.354855,1765933341.301604,9.946748971939087
16_left_j,2,1765933342.428047,1765933352.367596,9.939548969268799
16_left_j,3,1765933353.491195,1765933363.434044,9.942848920822144
16_left_k,1,1765933364.562978,1765933374.510674,9.947695970535278
16_left_k,2,1765933375.631258,1765933385.575457,9.944199085235596
16_left_k,3,1765933386.696264,1765933396.640304,9.944040060043335
16_left_w,1,1765933397.773274,1765933407.719205,9.94593095779419
16_left_w,2,1765933408.840191,1765933418.783052,9.942861080169678
16_left_w,3,1765933419.908684,1765933429.854132,9.94544792175293
16_right_x,1,1765933430.97969,1765933440.923082,9.943392038345337
16_right_x,2,1765933442.047071,1765933451.988164,9.94109296798706
16_right_x,3,1765933453.116778,1765933463.058791,9.942013025283813
16_right_y,1,1765933464.189319,1765933474.135328,9.946009159088135
16_right_y,2,1765933475.257544,1765933485.200161,9.942616939544678
16_right_y,3,1765933486.324551,1765933496.271409,9.946857929229736
16_right_z,1,1765933497.397621,1765933507.341268,9.943647146224976
16_right_z,2,1765933508.465958,1765933518.406643,9.940684795379639
16_right_z,3,1765933519.528533,1765933529.470605,9.942071914672852
16_right_i,1,1765933530.598702,1765933540.5409,9.942198038101196
16_right_i,2,1765933541.66553,1765933551.609116,9.943586111068726
16_right_i,3,1765933552.736071,1765933562.679036,9.942964792251587
16_right_j,1,1765933563.813924,1765933573.75688,9.94295597076416
16_right_j,2,1765933574.887904,1765933584.828159,9.940255165100098
16_right_j,3,1765933585.95213,1765933595.893398,9.941267967224121
16_right_k,1,1765933597.029031,1765933606.971425,9.942394018173218
16_right_k,2,1765933608.097725,1765933618.040175,9.942450046539307
16_right_k,3,1765933619.164739,1765933629.107954,9.943215131759644
16_right_w,1,1765933630.241571,1765933640.186316,9.944745063781738
16_right_w,2,1765933641.313157,1765933651.256792,9.943634986877441
16_right_w,3,1765933652.378633,1765933662.323771,9.945137977600098
